id,solvent,d_d,d_p,d_h
2349,"2,4-Di-Tert-Butylphenyl 3,5-Di-Tert-Butyl-4-Hydroxybenzoate",16.7,1.6,1.3
2350,"2,4-Di-Tert-Pentylphenol",16.9,2,3.9
2351,"2,4-Heptanediol",16.7,6.5,15
2352,"2,4-Hexadien-1-ol",17.2,5.6,12.5
2353,"2,4-Hexadiene",16.3,2.7,4
2354,"2,4-Hexadiene, 2,5-Dimethyl-",16.2,1.8,2.7
2355,"2,4-Ivy Carbaldehyde",16.9,5.6,5
2356,"2,4-Nonadien-1-Al",16.8,5.7,4.9
2357,"2,4-Nonadien-1-ol",16.9,4.4,10.9
2358,"2,4-Octadien-1-Al",16.8,6,5
2359,"2,4-Octadien-1-ol",16.9,4.6,9.9
2360,"2,4-Pentadien-1-Al",16.7,8.1,6.3
2361,"2,4-Pentanediol",17.1,7.9,18.4
2362,"2,4-Pentanedione, 3-Butyl-",16.5,7.6,4.4
2363,"2,4-Quinolinediol",20.9,15.5,15.2
2364,"2,4-Undecadien-1-Al",16.7,5.2,4.5
2365,"2,4-Undecadien-1-ol",16.8,4,9.6
2366,"2,4-Xylenol",18.4,5,9.7
2367,"2,5,5-Trimethyl-3-Hexanol",15.2,2.9,9.6
2368,"2,5,5-Trimethylheptane",14.8,0,0
2369,"2,5,6-Trimethyloctane",15.1,0,0
2370,"2,5,9-Trimethyl-4,9-Decadien-1-Al",16.3,4.2,3.3
2371,"2,5-Cyclohexadiene-1,4-Dione, 2,5-Dihydroxy-",22.5,19.7,22.5
2372,"2,5-Cyclohexadiene-1,4-Dione, 2,5-Dimethyl-",19.1,10.9,6.5
2373,"2,5-Dibromonitrobenzene",20.4,9.8,5.6
2374,"2,5-Dichloro Styrene",18.9,4.1,3.2
2375,"2,5-Dichloro-1,4-Benzenediamine",20.9,6.7,12.6
2376,"2,5-Dichloroaniline",20.1,6.5,8.5
2377,"2,5-Dichlorobenzoic Acid",20.2,6.8,8.6
2378,"2,5-Dichlorobenzotrifluoride",20,4.7,2.4
2379,"2,5-Dichloronitrobenzene",20,8.4,4.7
2380,"2,5-Dichlorophenol",20,6.3,12.1
2381,"2,5-Dichlorothiophene",19.3,4.7,5.8
2382,"2,5-Dichlorotoluene",18.9,4.4,3.4
2383,"2,5-Diethoxy Tetrahydrofuran",16.6,6.4,7.3
2384,"2,5-Diethyl Pyrazine",17.5,6.9,4.4
2385,"2,5-Diethyl Tetrahydrofuran",16,3.2,3.3
2386,"2,5-Diethyl Thiazole",17.6,4.5,5.1
2387,"2,5-Diethyl-3-Methyl Pyrazine",17.3,6.2,3.6
2388,"2,5-Diethyl-4-Methyl Thiazole",17.4,3.9,4.4
2389,"2,5-Diethylphenol",17.9,4.4,8
2390,"2,5-Difluorostyrene",17.4,4.6,3.6
2391,"2,5-Dihydrofuran",17.4,6.6,6.9
2392,"2,5-Dihydroxy-1,4-Dithiane",20,12.8,20.9
2393,"2,5-Dihydroxybenzaldehyde",20.2,12.2,18.7
2394,"2,5-Dihydroxybenzoic Acid",20.3,9.7,20.8
2395,"2,5-Dihydroxyphenylacetic Acid",19.6,10,22.4
2396,"2,5-Dimethoxybenzaldehyde",19.1,10.1,7.4
2397,"2,5-Dimethoxystyrene",18.4,5.8,5.5
2398,"2,5-Dimethoxytetrahydrofuran",16.8,7.2,8.2
2399,"2,5-Dimethoxytoluene",18.4,6.2,5.7
2400,"2,5-Dimethyl Pyrrole",18.3,7.6,6.8
2401,"2,5-Dimethyl Thiazole",18.1,5.2,6.5
2402,"2,5-Dimethyl-1-Hexanol",15.7,3.6,8.4
2403,"2,5-Dimethyl-1-Hexene",15.1,1.4,2
2404,"2,5-Dimethyl-2,5-Bis(Tert-Butylperoxy)Hexane",15,3.2,8.6
2405,"2,5-Dimethyl-2-Heptanol",15.8,2.9,5.9
2406,"2,5-Dimethyl-2-Hexanol",15.6,3.4,6.8
2407,"2,5-Dimethyl-2-Hexene",15.4,1.5,2.1
2408,"2,5-Dimethyl-3-(Methyl Thiol) Furan",18.4,5.4,3.8
2409,"2,5-Dimethyl-3-Furan Thiol",18.3,3.8,5.4
2410,"2,5-Dimethyl-3-Hexanol",15.4,3.3,8.1
2411,"2,5-Dimethyl-3-Isopropyl Pyrazine",17.2,5.7,3.3
2412,"2,5-Dimethyl-3-Thiofuroyl Furan",19,6.3,5.3
2413,"2,5-Dimethyl-3-Thioisovaleryl Furan",17.5,4.2,3.5
2414,"2,5-Dimethyl-4-Ethoxy-3(2H)-Furanone",17.4,8.3,6.3
2415,"2,5-Dimethyl-4-Ethyl Oxazole",16.4,5.7,4.2
2416,"2,5-Dimethyl-4-Ethyl Thiazole",17.5,4.2,4.9
2417,"2,5-Dimethyl-4-Octanol",15.6,2.8,7
2418,"2,5-Dimethylaniline",18.8,4.6,7.9
2419,"2,5-Dimethyl-Cis-3-Hexene",15.2,1.3,1.5
2420,"2,5-Dimethylfuran",16.7,4.5,4.5
2421,"2,5-Dimethylheptane",15,0,0
2422,"2,5-Dimethylhexane",14.7,0,0
2423,"2,5-Dimethylnonane",15.3,0,0
2424,"2,5-Dimethyloctane",15.2,0,0
2425,"2,5-Dimethylpiperazine",17.2,5.7,6.9
2426,"2,5-Dimethylpyrazine",18,7.9,6
2427,"2,5-Dimethylpyridine",17.9,5.4,4.9
2428,"2,5-Dimethylstyrene",17.7,2.5,2.8
2429,"2,5-Dimethyltetrahydrofuran",16.2,3.8,4.1
2430,"2,5-Dimethylthiophene",17.9,2.7,5.3
2431,"2,5-Dimethylthiophenol",19.4,2.8,4.5
2432,"2,5-Dimethyl-Trans-3-Hexene",15.2,1.3,1.5
2433,"2,5-Dinitrotoluene",19.6,9.9,5.3
2434,"2,5-Dithiahexane",18.4,5,4.8
2435,"2,5-Heptadien-4-One, 2,6-Dimethyl-",16.9,4.8,3.7
2436,"2,5-Hexanediol",16.9,7.6,17.6
2437,"2,5-Hexanedione",16.9,10.3,5.9
2438,"2,5-Nobonadiene",17.4,2.8,4
2439,"2,5-Pyolidinedione",19.1,19.9,11.2
2440,"2,5-Pyridinediamine",20.6,10.2,16.2
2441,"2,5-Pyrolidinedione, 1-Bromo-",20,13.6,7
2442,"2,5-Tetrahydrofuran Dimethanol",17.9,8.5,18.9
2443,"2,5-Xylenol",18.4,5,9.7
2444,"2,6,10-Trimethyl Dodecane",15.4,0,0
2445,"2,6,6-Trimethyl-2-Hydroxycyclohexanone",17.6,8,7.5
2446,"2,6,6-Trimethyloctane",14.9,0,0
2447,"2,6,8-Trimethyl-4-Nonanone",15.6,2.8,2.1
2448,"2,6-Diamino-3-Phenylazopyridine",17.8,9.5,11.3
2449,"2,6-Diaminopyridine",20.6,10.2,16.2
2450,"2,6-Dichloro-4-Nitroaniline",20.7,9.3,8.6
2451,"2,6-Dichloro-7-Methyl Purine",20.5,11.7,14.2
2452,"2,6-Dichloroaniline",20.1,6.5,8.6
2453,"2,6-Dichloroanisole",19.8,8.4,6.5
2454,"2,6-Dichlorobenzoic Acid",20.2,6.9,8.7
2455,"2,6-Dichlorobenzonitrile",19.9,9.8,3.5
2456,"2,6-Dichlorophenol",20.1,7.5,10.9
2457,"2,6-Dichlorothiobenzamide",20.5,13.1,11.2
2458,"2,6-Dichlorotoluene",18.9,4.5,3.5
2459,"2,6-Dicycloehxylphenol",18.6,2.5,5.2
2460,"2,6-Diethylaniline",18.2,4.1,6.7
2461,"2,6-Diethylnaphthalene",18.4,0.9,3.2
2462,"2,6-Diethylphenol",17.9,4.4,8
2463,"2,6-Difluorobenzonitrile",18.8,11.2,3.2
2464,"2,6-Dihydroxybenzoic Acid",20.1,9.5,19.9
2465,"2,6-Dihydroxyisonicotinic Acid",21.2,17.6,23.5
2466,"2,6-Diisopropylphenol",17.4,3.1,6.1
2467,"2,6-Dimethoxy Phenol",19.3,7.6,13.7
2468,"2,6-Dimethoxy-4-Vinyl Phenol",18.7,6,10.1
2469,"2,6-Dimethoxystyrene",18.4,5.8,5.5
2470,"2,6-Dimethyl Octanal",15.7,4.5,3.1
2471,"2,6-Dimethyl Phenol",19.1,4.9,12.9
2472,"2,6-Dimethyl Undecane",15.5,0,0
2473,"2,6-Dimethyl-1-Octanol",15.8,3.2,7
2474,"2,6-Dimethyl-2-Heptanol",15.7,3.2,6.2
2475,"2,6-Dimethyl-3-((2-Methyl-3-Furyl)Thio)-4-Heptanone",17.7,4.8,2.6
2476,"2,6-Dimethyl-3-Heptanol",15.5,3.2,7.2
2477,"2,6-Dimethyl-4-Octanol",15.6,2.6,6.5
2478,"2,6-Dimethyl-5-Heptenal",16.3,5.6,4.3
2479,"2,6-Dimethylheptane",14.9,0,0
2480,"2,6-Dimethylnaphthalene",19,1,3.9
2481,"2,6-Dimethylnonane",15.3,0,0
2482,"2,6-Dimethyloctane",15.1,0,0
2483,"2,6-Dimethylpyridine",17.9,5.4,4.9
2484,"2,6-Dimethylpyridine-1-Oxide",18.7,5.2,15.7
2485,"2,6-Dimethylquinoline",18.9,4.2,4.6
2486,"2,6-Dimethylthiophenol",19.5,2.8,4.6
2487,"2,6-Dimethyt-2-Octanol",15.8,2.9,5.4
2488,"2,6-Dinitroaniline",20.7,12.2,10.1
2489,"2,6-Dinitrotoluene",19.6,10,5.3
2490,"2,6-Di-sec-Butylphenol",17.3,2.1,5
2491,"2,6-Di-t-Butyl-4-Hydroxymethylphenol",16.8,3.2,8.8
2492,"2,6-Di-Tert-Butyl-p-Cresol",16.6,1,4.2
2493,"2,6-Heptanediol",16.8,7.3,16
2494,"2,6-Naphthalenedicarboxylic Acid",20.3,5.3,13.1
2495,"2,6-Nonadien-1-ol",16.9,4.6,9.5
2496,"2,6-Toluene Diisocyanate",19,7.7,5.4
2497,"2,6-Xylidine ",18.8,4.7,7.9
2498,"2,7-Dichlorodibenzo[B,E][1,4]Dioxin",21,6,5.6
2499,"2,7-Diisopropyl Naphthalene",17.8,0,2
2500,"2,7-Dimethyl-2-Octanol",15.7,3.1,5.7
2501,"2,7-Dimethyl-3-Octanol",15.6,3,7.1
2502,"2,7-Dimethyl-4-Octanol",15.5,2.9,6.8
2503,"2,7-Dimethylnaphthalene",19,1,3.9
2504,"2,7-Dimethyloctane",15,0,0
2505,"2,7-Dimethylquinoline",18.9,4.2,4.6
2506,"2,7-Naphthalenediol",20.5,5.1,16
2507,"2,8-Dimethylquinoline",18.9,4.2,4.6
2508,"2,Cis-3-Dimethylthiacyclopropane",17.3,4.5,3.9
2509,"2,Cis-5-Dimethylthiacyclopentane",17.3,3.9,3.7
2510,"2,Trans-3-Dimethylthiacyclopropane",17.3,4.5,3.9
2511,"2,Trans-5-Dimethylthiacyclopentane",17.3,3.9,3.7
2512,"2[(2,4-Dinitrophenyl)Methyl]Pyridine",20.5,9.1,4.9
2513,2-[3-(Benzotriazol-2-Yl)-4-Hydroxy-Phenyl]Ethyl 2-Methylprop-2-En Oate,19.7,8.3,5.3
2514,"2-[Chloro(Difluoro)Methoxy]-1,1,1,2-Tetrafluoroethane",13.9,5.1,3.4
2515,2-{2-[(2-Ethylhexyl)Oxy]Ethoxy}Ethanol,16,4.8,9.1
2516,22-Tricosenoic_Acid,16.3,2.5,4.4
2517,2-Acetamidophenol,20,13.3,13.8
2518,2-Acetoacetoxy Ethyl Methacrylate,16.8,7.2,7.6
2519,2'-Acetonaphtone,19.9,6.2,4.6
2520,"2-Acetoxy-1,8-Cineole",16.8,3.7,3.8
2521,2-Acetyl Furan,18.1,9.2,5.8
2522,2-Acetyl Pyrazine,19.4,12.6,6.9
2523,2-Acetyl Pyridine,19.1,10,6
2524,2-Acetyl Pyrrole,19.4,11.4,8.4
2525,2-Acetyl Thiazole,19.5,9.9,7.7
2526,2-Acetyl Thiophene,19.1,12.2,9.3
2527,2-Acetyl-1-Furfuryl Pyrrole,19.3,8.8,5.5
2528,2-Acetyl-1-Methyl Pyrrole,18.4,8.9,4.9
2529,2-Acetyl-1-Pyrroline,17.6,11.1,4.6
2530,2-Acetyl-2-Thiazoline,18.9,13,6
2531,"2-Acetyl-3,4,5,6-Tetrahydropyridine",17.4,9.4,4.1
2532,"2-Acetyl-3,5(Or 6)-Dimethyl Pyrazine",18.1,8.6,3.7
2533,"2-Acetyl-3,5-Dimethyl Furan",17.3,7.2,4.3
2534,"2-Acetyl-3,5-Dimethyl Pyrazine",18.4,10.3,4.9
2535,"2-Acetyl-3,6-Dimethyl Pyrazine",18.4,10.3,4.9
2536,2-Acetyl-3-Ethyl Pyrazine,18.5,10.6,5.1
2537,2-Acetyl-3-Methyl Pyrazine,18.8,11.4,5.8
2538,2-Acetyl-3-Methyl Thiophene,18.8,6.4,5.8
2539,2-Acetyl-4-Methyl Thiazole,18.9,8.8,6.6
2540,2-Acetyl-5-Methyl Furan,17.6,8.1,5
2541,2-Acetyl-5-Methyl Pyrazine,18.8,11.3,5.8
2542,2-Acetyl-6-Ethyl Pyrazine,18.5,10.6,5.1
2543,2-Acetyl-6-Methyl Pyrazine,18.8,11.3,5.8
2544,2-Acetylpyrazine,19.4,12.6,6.9
2545,2-Allyloxyethanol,16.5,7,13
2546,2-Allylphenol,18.4,4.6,9.1
2547,2-Amino Pyridine,20.4,8.1,12.2
2548,2-Amino-1-Propanol,16.7,8.1,17.6
2549,"2-Amino-2,3-Dimethylbutane",14.9,2.6,4.7
2550,"2-Amino-2-Ethyl-1,3-Propanediol",16.5,8.7,18.9
2551,2-Amino-2-Methyl-1-Propanol,15.9,7,14.8
2552,2-Amino-2-Methyl-1-Propanol/Acetic Acid,17.2,22.5,23.3
2553,2-Amino-2-Methylpentane,15.2,2.8,5
2554,"2-Amino-3,3-Dimethyl Butane",14.9,2.6,5.3
2555,2-Amino-3-Methylpentane,15.5,2.6,5.4
2556,2-Amino-4-Hydroxypteridine ,20.6,20,10.3
2557,2-Amino-4-Methylpentane,15.4,2.9,5.7
2558,2-Aminoadipic Acid,17.5,9.1,19
2559,2-Aminoanthracene,20.8,2.9,8.5
2560,2-Aminoanthraquinone,21.3,13.4,8.9
2561,2-Aminobenzaldehyde,20,9.7,10.3
2562,2-Aminobenzonitrile,20.1,10.9,8.4
2563,2-Aminobenzophenone,20.3,6.8,7.4
2564,2-Aminobiphenyl,20,3.8,7.1
2565,2-Aminobutanoic Acid,16.7,7.1,15.1
2566,2-Aminoethoxyethanol,17.2,8.9,16.1
2567,2-Aminofluorene,20.9,4.4,7.2
2568,2-Aminohexane,15.7,3.3,6.1
2569,2-Aminopyrazine,20.2,11.9,13.4
2570,2-Benzofuran Carboxaldehyde,19.5,9.7,5.7
2571,2-Benzylpyridine,19.4,4.8,4.2
2572,2-Bromo Allyl Alcohol,17.1,9.9,16.2
2573,2-Bromo Propene,16.1,6,4.9
2574,"2-Bromo-1,1,1,2-Tetrafluoroethane(Hbfc-124Ab1)",15.2,4.6,3.3
2575,"2-Bromo-1,1,1-trifluoroethane(HCFC-133aB1)",15.8,5.2,3.9
2576,"2-Bromo-1,1,2-Trifluoroethyl  Ethyl Ether",15.8,4.9,4.2
2577,"2-Bromo-1,1-Difluoroethane(Fc-1122B1)",16.6,6.2,4.7
2578,2-Bromo-1-Butene,16.5,4.1,3.4
2579,2-Bromo-1-Chloropropane,17.8,6.4,4.6
2580,2-Bromo-1-Pentene,16.5,3.4,2.9
2581,"2-Bromo-2,3-Dimethylbutane",15.6,2.3,1.4
2582,2-Bromo-2-Butene,17.2,4.2,4.1
2583,2-Bromo-2-Methylbutane,15.8,3,2.2
2584,2-Bromo-2-Methylpentane,15.9,2.5,1.8
2585,2-Bromo-2-Methylpropane,15.4,3.3,2.6
2586,"2-Bromo-2-Nitropropane-1,3-Diol",18.9,17.4,18.3
2587,"2-Bromo-3,3,3-Trifluoropropene",15.4,4.4,2.9
2588,"2-Bromo-3,3-Dimethylbutane",15.6,2.3,2.4
2589,2-Bromo-3-Methyl-1-Butene,16.2,3.2,2.5
2590,2-Bromo-3-Methyl-2-Butene,17.1,3.6,3.4
2591,2-Bromo-3-Methylbutane,16.1,3,3
2592,"2-Bromo-4,5-Dimethylphenol ",19.1,4.8,9.2
2593,2-Bromo-4-Methylpentane,16.1,2.6,2.9
2594,2-Bromoacetophenone,19.5,7.6,4.7
2595,2-Bromobutane,16.3,7.7,4.4
2596,2-Bromobutanoic Acid,17.3,6.9,12.9
2597,2-Bromo-Cis-2-Butene,17.2,4.2,4.1
2598,2-Bromo-Cis-2-Pentene,17,3.8,3.6
2599,2-Bromoheptafluoropropane,13.7,3.3,1.9
2600,2-Bromoheptane,16.5,2.7,3.3
2601,2-Bromohexane,16.4,3,3.4
2602,2-Bromonaphthalene,20.2,4.5,4.9
2603,2-Bromopentane,16.4,3.1,3.4
2604,2-Bromopopanoic Acid,17.6,7.7,14.3
2605,2-Bromopropane,15.5,8.3,4.7
2606,2-Bromo-p-Xylene,18.6,4.3,3.8
2607,2-Bromopyrimidine,19.7,11,8.1
2608,2-Bromothiophene,20.1,5.2,4.6
2609,2-Bromo-Trans-2-Butene,17.2,4.2,4.1
2610,2-Butanol,15.8,5.7,14.5
2612,"2-Butanone, 3-Hydroxy-",17.2,10.9,14.6
2613,"2-Butanone,3,4,4,4-Tetrafluoro-3-(Trifluoromethyl)-",13.5,5.1,2.6
2614,2-Buten-1-ol,16.9,6.7,14.5
2615,2-Butene (Cis),14.7,1.3,4.1
2616,2-Butene (Trans),14.6,0,2.9
2617,"2-Butene, 1,1,1,2,3,4,4,4-Octafluoro-, (Z)-",12.8,2.5,0.8
2618,"2-Butene, 1,1,1,2,3,4,4-Heptafluoro-",13.5,3.1,1.4
2619,"2-Butene, 1,1,1,2,4,4,4-Heptafluoro-",13.2,2.7,1.4
2620,"2-Butene, 1,1,1,2,4,4,4-Heptafluoro-, (Z)-",13.2,2.7,1.4
2621,"2-Butene, 1,1,1,4,4,4-Hexafluoro-",13.6,3,2
2622,"2-Butene, 1,1,1,4,4,4-Hexafluoro-, (E)-",13.6,3,2
2623,"2-Butenedioic Acid (E)-, Dimethyl Este",17,7,9.3
2624,"2-Butenedioic Acid, 2-Methyl-, (E)-",17.7,9.4,20.7
2625,2-Butenoic Acid,16.8,7,14.4
2626,"2-Butenoic Acid, 3-Amino-, Ethyl Ester",16.8,5.9,9.1
2627,"2-Butenoic Acid, Ethyl Este, (E)-",16.3,4.9,6.4
2628,2-Butenyl Methyl Ether (Cis),15.2,3.4,5
2629,2-Butenyl Methyl Ether (Trans),15.3,4.4,4.3
2630,2-Butoxy-2-Oxoethyl,17.2,7.8,4.4
2631,2-Butoxyethyl Acrylate,16.1,4.4,5.7
2632,2-Butyl Furan,16.7,3.9,4.1
2633,2-Butyl Pyridine,17.7,4.8,4.2
2634,2-Butyl Tetrahydrofuran,16.2,3.5,3.6
2635,2-Butyl Thiazole,17.9,4.6,5.5
2636,2-Butyl Thiophene,17.8,2.5,4.8
2637,2-Butyl-1-Decanol,16,3,8.7
2638,2-Butyl-1-Decene,15.3,1.1,1.4
2639,2-Butyl-2-Butenal,16.3,6.1,4.6
2640,2-Butyl-3-Methyl Pyrazine,17.5,6.3,4
2641,"2-Butyl-4,5-Dimethyl Thiazole",17.4,3.5,4.1
2642,2-Butyl-5-Ethyl Thiophene,17.4,1.9,3.8
2643,2-Butylnaphthalene,18.7,2.3,3.4
2644,2-Butyl-Nonan-1-ol,16,3.4,8.7
2645,2-Butyl-Octan-1-ol,16,3.4,9.2
2646,2-Butylphenol,17.9,4,7.9
2647,"2-Butyne-1,4-Diol",18,12.3,22
2648,2-Butynedinitrile,15.2,16.2,8
2649,2-Chloro Allyl Alcohol,17.1,10.2,16.4
2650,2-Chloro Propene (Isopropenyl Chloride),15.5,6.7,2.2
2651,"2-chloro-1,1,1,2-tetrafluoroethane HCFC-124",13.5,5,2.4
2652,"2-Chloro-1,1,1,3,3,3-Hexafluoropropane(F-226Da)",13.8,4.2,1.5
2653,"2-Chloro-1,1,1,4,4,4-Hexafluoro-2-Butene(F-1326Mxz)",14.2,3.4,1.4
2654,"2-Chloro-1,1,1-Trifluoroethane",14.8,6.4,3.4
2655,"2-Chloro-1,1,2-Trifluoroethane (F-133)",14.4,5.8,3.2
2656,"2-Chloro-1,1,2-Trifluoroethyl Difluoromethyl Ether",14.4,6.1,3.7
2657,"2-Chloro-1,1,2-Trifluoroethyl Ethyl Ether",14.5,5.2,3.5
2658,"2-Chloro-1,1,2-Trifluoroethyl Methyl Ether",14.5,5.8,4.1
2659,"2-Chloro-1,1-Difluoroethane",15.9,7.4,4.2
2660,"2-Chloro-1,1-Difluoroethylene",14.9,4.1,2.7
2661,2-Chloro-1-Butene,15.4,3.6,2.5
2662,2-Chloro-1-Fluoro-4-Nitrobenzene,19.3,8.8,4.8
2663,2-Chloro-1-Pentene,15.6,2.9,2.1
2664,2-Chloro-1-Propanol,17,7.8,13.3
2665,"2-Chloro-2,3-Dimethylbutane",15.5,2.7,1.2
2666,"2-Chloro-2',6'-Diethyl-n-(2-Propoxyethyl)Acetanilide",18,8.8,3.3
2667,"2-Chloro-2-[Chloro(Difluoro)Methoxy]-1,1,1-Trifluoroethane",14.8,6.1,3.1
2668,2-Chloro-2-Methyl Propane,15.6,7.6,2
2669,2-Chloro-2-Methylbutane,15.6,3.4,1.9
2670,2-Chloro-2-Methylpentane,15.7,2.8,1.6
2671,2-Chloro-2-Nitropropane,16.9,12.4,3.5
2672,"2-Chloro-3,3,3-Trifluoropropene ",14.5,3.9,1.9
2673,"2-Chloro-3,3-Dimethylbutane",15,2.5,1.5
2674,2-Chloro-3-Methyl-1-Butene,15.3,2.7,1.6
2675,2-Chloro-3-Methyl-2-Butene,16.2,3.1,2.6
2676,2-Chloro-3-Methylbutane,15.4,3.2,2
2677,2-Chloro-3-Methylpentane,15.6,2.5,1.6
2678,"2-Chloro-4-Ethylamino-6-Isopropylamino-1,3,5-Triazine (Atrazine)",19.1,11,7.9
2679,2-Chloro-4-Methylaniline,19.7,7.4,8.9
2680,2-Chloro-4-Methylpentane,15.5,2.8,2
2681,2-Chloro-4-Nitrophenol,20.2,10,10.9
2682,2-Chloro-5-Methyl Phenol,19,7.7,13.1
2683,2-Chloroacetamide,17.6,12.4,12.8
2684,2-Chloroacetanilide,19.9,11.7,7.7
2685,2-Chloroallyl Acetate,16.5,5.3,5.8
2686,2-Chloroallyl Chloride,16.7,6.3,3.2
2687,2-Chloroallylidene Diacetate,16.7,7.3,8.8
2688,2-Chlorobiphenyl,19.8,2.9,3
2689,2-Chlorobutane,15.8,7.6,2
2690,2-Chlorobutanoic Acid,16.7,7.3,12
2691,2-Chloro-Cis-2-Butene,16.2,3.7,3.2
2692,2-Chloro-Cis-2-Pentene,16.1,3.3,2.8
2693,2-Chlorocyclohexanone,18.5,13,5.1
2694,2-Chloroethyl Acetate,16.7,9.6,8.8
2695,2-Chloroethyl Acrylate,17,7.4,6.8
2696,2-Chloroethyl Benzene,19.3,6.3,2.2
2697,2-Chloroethyl Ether,16.5,7.6,5.5
2698,2-Chloroethyl Ethyl Ether,16.3,7.9,4.6
2699,2-Chloroethyl Ethyl Sulfide,17.2,5,6.1
2700,2-Chloroethyl Methacrylate,16.8,6.5,6
2701,2-Chloroheptafluoropropane(F-217Ba),13.4,3.7,1.5
2702,2-Chloroheptane,16,2.9,2.4
2703,2-Chlorohexane,15.9,3.2,2.4
2704,"2-Chloro-N,N-Dimethylacetamide",18.3,13.1,8.3
2705,"2-Chloropentafluoro-1,3-Butadiene",14.1,2,0.6
2706,2-Chloropentane,15.8,3.4,2.4
2707,2-Chlorophenol,19,5.5,13.9
2708,2-Chlorophenoxyacetic Acid,19.2,7.9,11.5
2709,2-Chloropropanoic Acid,16.9,8,13.4
2710,2-Chloropropenal,17.1,12.9,8.1
2711,2-Chloropropenoic Acid,19.1,9.4,12.4
2712,2-Chloropyridine,19,7.4,6.2
2713,2-Chloropyrimidine,19.3,10.3,7.5
2714,2-Chlorothiophene,19.2,6.2,8
2715,2-Chloro-Trans-2-Butene,16.2,3.7,3.2
2716,2-Cyanacetamid,18.4,23.2,15.3
2717,"2-Cyano-2,2-Dibromoacetamide",20,19.5,12.6
2718,2-Cyano-4-Nitroaniline,20.6,14,9.1
2719,2-Cyanoethyl Acrylate,16.7,11.4,8.1
2720,2-Cyanopyrazine,19.8,15.6,6.9
2721,2-Cyanopyridine,19.5,12.5,5.8
2722,2-Cyanopyrimidine,19.8,15.6,6.9
2723,2-Cyclohexenone,18.1,8.4,5.3
2724,2-Cyclohexyl Cyclohexanone,17.8,4.4,2.6
2725,2-Cyclohexyl Propionaldehyde,16.8,5.3,4.1
2726,2-Cyclopenten-1-One,18.4,9.3,6.2
2727,2-Cyclopentenyl Alcohol,18.1,7.6,15.6
2728,2-Cyclopentyl Cyclopentanone,17.8,5.4,3
2729,2-Cyclopropene-1-Carboxylic Acid,17.4,7.5,15.4
2730,2-Decalinol,17.5,3.9,8.7
2731,2-Decalinyl Acetate,17.2,2.8,4
2732,2-Decalinyl Formate,17.2,3.8,4.7
2733,2-Decanethiol,16.5,2.6,3.2
2734,2-Decanol,15.8,3.9,10
2735,2-Decanone,16.1,4.5,3.3
2736,"2-Decen-1,4-Lactone",16.5,6.7,4.7
2737,2-Decen-1-Al,16.3,5.6,4.4
2738,2-Decen-1-ol,16.4,4.4,9.7
2739,2-Decenoic Acid,16.5,4.5,8.8
2740,2-Decyl Furan,16.6,2.7,3
2741,2-Decylnaphthalene,17.5,1.7,2.6
2742,2-Decyne,15.9,3.2,2.9
2743,2-Diethylaminoethyl_Methacrylate,15.8,3.5,4.5
2744,2-Difluoromethylperfluorooxolane,13.9,3.6,3.3
2745,2-Dimethylaminopurine,20.4,13.3,9.9
2746,2-Dodecanethiol,16.5,2.4,3
2747,2-Dodecanol,16.1,3.4,6.8
2748,2-Dodecanone,16.1,4,3.1
2749,2-Dodecen-1-Al,16.4,4.9,3.9
2750,2-Dodecen-1-ol,16.4,3.8,8.8
2751,2-Dodecyne,16,2.5,2.6
2752,2-Eicosanol,16.1,2.5,4.4
2753,2-Eicosanone,16.1,2.4,2.2
2754,2-Eicosyne,16.1,1.7,1.8
2755,2-Ethenoxyethanol,16.6,7.6,14.6
2756,"2-Ethenyl-1,3-Dimethylbenzene",17.7,2.5,2.9
2757,2-Ethoxyanisole,18.2,6.1,5.4
2758,2-Ethoxypyrazine,18.5,10.3,7.2
2759,2-Ethoxypyrimidine,18.5,10.3,7.2
2760,2-Ethoxythiazole,18.6,7.7,7.9
2761,2-Ethyl Butyl Acetate,15.8,3.6,4.9
2762,2-Ethyl Butyric Acid,15.7,5.1,10.7
2763,2-Ethyl Croton Aldehyde,16.1,8,5.5
2764,2-Ethyl Fenchol,17,3.5,5.4
2765,2-Ethyl Hexyl 3-Mercaptopropionate,16.7,4.1,5.3
2766,2-Ethyl Hexyl Acetate,15.8,2.9,5.1
2767,2-Ethyl Hexyl Acrylate,15.3,4.3,3
2768,2-Ethyl Hexyl Mercaptan,16.3,3.1,3.7
2769,2-Ethyl Hexyl Phthalate (Mono),17.3,6.2,6.8
2770,2-Ethyl Hexyl Salicylate,17.4,5.6,6.1
2771,2-Ethyl Octine Carbonate,16.2,4.4,4.7
2772,2-Ethyl Pyrazine High,18.1,8.3,6.1
2773,2-Ethyl Pyrazine Low,18.1,8.3,6.1
2774,2-Ethyl-(1-Thiaethyl)-Benzene,19.3,4.2,2.8
2775,"2-Ethyl-1,2-Hexanediol",16.4,6.1,14
2776,"2-Ethyl-1,3-Butadiene",15.3,1.6,3.8
2777,"2-Ethyl-1,3-Butanediol",16.6,7.3,17.1
2778,"2-Ethyl-1,3-Pentanediol",16.4,6.8,15.5
2779,"2-Ethyl-1,3-Propanediol",16.8,8.6,18.5
2780,2-Ethyl-1-Butanol,15.8,4.3,13.5
